Modalità ;Informazioni cronologiche;1. Qual è la tua età?;2. Qual è il tuo genere?;3. Qual è il tuo livello di istruzione?;"4. Valuta su una scala da 1 a 10 quanto ritieni che la tua età influenzi l'interesse per esperienze museali, dove 1 significa ""per nulla"" e 10 ""moltissimo"".";5. Su una scala da 1 a 10, quanto pensi che il tuo percorso formativo o le tue conoscenze pregresse influenzino la tua comprensione delle esposizioni museali? ;"6. Quanto frequentemente visiti i musei o le mostre culturali in generale? Usa una scala da 1 a 10 per indicare la tua frequenza, dove 1 significa ""mai"" e 10 ""molto frequentemente"".";7. Quanto hai trovato interessante la visita guidata al museo tradizionale? Valuta su una scala da 1 a 10.;8. Ritieni che le spiegazioni fornite dalla guida siano state chiare e utili? Usa una scala da 1 a 10 per indicare il tuo grado di chiarezza percepita.;9. Durante la visita, hai percepito difficoltà nel mantenere l’attenzione? Su una scala da 1 a 10.;10. Quanto ritieni che l’esposizione degli oggetti storici sia stata efficace per trasmettere informazioni educative? Usa una scala da 1 a 10 per indicare la tua percezione.;11. Qual è stato il tuo livello di coinvolgimento emotivo durante la visita tradizionale? Valuta su una scala da 1 a 10.;12. Quali ulteriori funzionalità vorresti vedere in una futura versione del museo VR?;13. Quali aspetti della guida museale tradizionale al MuSEd hai trovato più utili per l’apprendimento?;14. Quanto riterresti utile l’uso della VR per spiegare l’evoluzione degli strumenti educativi rispetto all’esposizione fisica degli oggetti?;1. Quando è stato fondato il primo Museo d'Istruzione e di Educazione?;2. Chi fu il fondatore del primo Museo d'Istruzione e di Educazione?;3. Qual è il principale contributo di Maria Montessori all'educazione?;4. Chi progettò i banchi scolastici per le scuole dei contadini dell’Agro Romano? ;5.  Chi decorò le scuole dell’Agro Romano ?;6. Qual era la caratteristica principale della cassettiera montessoriana?;7.  Chi è l’autore dell’opera: l'albero di Pinocchio, conservato al MUSED?;8. Come si differenziava il banco della scuola urbana di Marcucci da quello rurale ?;9. Chi utilizzava principalmente i go kart all'inizio del XX secolo?
tradizionale;25/01/2025 18:52;32;NON SPECIFICATO;Licenza media;1;2;3;2;1;1;2;3;Tracce audio storiche e visite notturne simulate;Esposizioni fisiche;5;1907;Duilio Cambellotti;La costruzione di scuole in muratura;Sibilla Aleramo;Angelo Celli;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;30/05/2025 19:20;32;M;Laurea triennale;1;2;3;2;2;1;2;8;Accesso a documentari e interazione con strumenti antichi;Esposizioni fisiche;9;1912;Ruggiero Bonghi;L'uso di materiali sensoriali;Giovanni Cena;Sibilla Aleramo;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;14/04/2025 19:21;32;NON SPECIFICATO;Diploma superiore;1;2;3;2;9;1;2;4;Supporto per visori diversi e modalità esperto;Interazioni con la guida;10;1884;Giovanni Cena;La creazione del 'Giornale per i bambini';Alessandro Marcucci;Sibilla Aleramo;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Serviva solo per intrattenere i bambini durante le pause;Solo i bambini delle famiglie benestanti
tradizionale;06/02/2025 19:56;32;F;Laurea magistrale;9;2;3;2;2;1;2;3;Percorsi personalizzati e quiz durante la visita;Spiegazioni vocali;6;1874;Ruggiero Bonghi;La promozione del fascismo nelle scuole;Alessandro Marcucci;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;24/01/2025 20:12;32;M;Laurea triennale;1;2;8;2;5;1;2;5;Chat con esperti e modalità accessibile;Esposizioni fisiche;8;1884;Ruggiero Bonghi;La costruzione di scuole in muratura;Giovanni Cena;Giovanni Cena;Era destinata agli oggetti personali del maestro;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;Esclusivamente gli adulti per il lavoro
tradizionale;15/12/2024 22:44;32;M;Laurea triennale;1;2;3;2;2;1;2;10;Tecnologia vocale e supporto per visori diversi;Esposizioni fisiche;6;1884;Duilio Cambellotti;La creazione del 'Giornale per i bambini';Sibilla Aleramo;Angelo Celli;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;15/01/2025 23:05;32;M;Laurea triennale;1;2;3;2;2;1;2;10;Possibilità di fare domande e simulazioni storiche in tempo reale;Spiegazioni vocali;8;1884;Maria Montessori;La creazione del 'Giornale per i bambini';Alessandro Marcucci;Angelo Celli;Era utilizzata solo per conservare i quaderni degli studenti;Gli studenti di una scuola elementare;Serviva solo per intrattenere i bambini durante le pause;Solo i bambini delle famiglie benestanti
tradizionale;03/05/2025 00:11;32;F;Laurea triennale;9;7;3;8;2;1;10;5;Percorsi personalizzati e quiz durante la visita;Esposizioni fisiche;10;1907;Ruggiero Bonghi;La costruzione di scuole in muratura;Duilio Cambellotti;Giovanni Cena;Era destinata agli oggetti personali del maestro;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;14/05/2025 01:38;32;M;Laurea triennale;1;2;3;2;2;1;2;4;Chat con esperti e accesso a documentari;Esposizioni fisiche;5;1912;Duilio Cambellotti;La creazione del 'Giornale per i bambini';Giovanni Cena;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;Esclusivamente gli adulti per il lavoro
tradizionale;07/12/2024 19:19;32;M;Laurea triennale;1;2;3;2;2;1;2;1;Supporto per visori diversi e modalità realtà mista;Esposizioni fisiche;8;1884;Duilio Cambellotti;La costruzione di scuole in muratura;Sibilla Aleramo;Angelo Celli;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Carlo Collodi in persona;Era riservato agli insegnanti per le riunioni;Esclusivamente gli adulti per il lavoro
tradizionale;17/05/2025 16:27;32;M;Laurea triennale;1;4;1;2;8;1;2;9;non so;Esposizioni fisiche;1;1884;Duilio Cambellotti;La promozione del fascismo nelle scuole;Alessandro Marcucci;Duilio Cambellotti;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;18/01/2025 00:30;32;NON SPECIFICATO;Laurea triennale;8;2;3;9;2;1;2;7;Creazione del proprio avatar e visione a raggi x degli oggetti;Interazioni con la guida;9;1907;Maria Montessori;L'uso di materiali sensoriali;Duilio Cambellotti;Giovanni Cena;Era utilizzata solo per conservare i quaderni degli studenti;Ferdinando Codognotto;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Solo i bambini delle famiglie benestanti
tradizionale;23/03/2025 19:44;32;M;Laurea triennale;1;2;5;2;2;1;6;3;non so;Spiegazioni vocali;6;1884;Ruggiero Bonghi;La costruzione di scuole in muratura;Giovanni Cena;Sibilla Aleramo;Serviva esclusivamente per riporre i libri di testo;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Solo i bambini delle famiglie benestanti
tradizionale;27/01/2025 13:24;32;M;Laurea triennale;1;2;3;2;2;1;2;10;Gamification educativa e reazioni ambientali realistiche;Esposizioni fisiche;9;1912;Ruggiero Bonghi;L'uso di materiali sensoriali;Alessandro Marcucci;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Un falegname della Disney;Era utilizzato esclusivamente per le feste scolastiche;Solo i bambini delle famiglie benestanti
tradizionale;31/01/2025 12:24;32;M;Laurea triennale;1;2;3;2;2;1;2;6;Modalità cooperativa e interazione con strumenti antichi;Interazioni con la guida;10;1884;Giovanni Cena;La creazione del 'Giornale per i bambini';Duilio Cambellotti;Sibilla Aleramo;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
tradizionale;27/01/2025 21:58;32;M;Laurea triennale;1;2;3;2;2;1;2;5;Ricerca vocale e scelta del livello di dettaglio;Altro;4;1884;Giovanni Cena;La promozione del fascismo nelle scuole;Sibilla Aleramo;Sibilla Aleramo;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Serviva solo per intrattenere i bambini durante le pause;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;21/01/2025 18:15;32;M;Laurea triennale;1;2;3;2;10;4;7;7;Accesso a documenti d'archivio e guide virtuali parlanti;Esposizioni fisiche;3;1907;Giovanni Cena;L'uso di materiali sensoriali;Sibilla Aleramo;Angelo Celli;Serviva esclusivamente per riporre i libri di testo;Ferdinando Codognotto;Era utilizzato esclusivamente per le feste scolastiche;Esclusivamente gli adulti per il lavoro
tradizionale;31/03/2025 18:18;32;M;Laurea triennale;1;2;3;2;2;1;2;1;Visione storica evolutiva e realtà aumentata integrata;Altro;3;1912;Giovanni Cena;La promozione del fascismo nelle scuole;Duilio Cambellotti;Sibilla Aleramo;Era utilizzata solo per conservare i quaderni degli studenti;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;Esclusivamente gli adulti per il lavoro
tradizionale;26/01/2025 14:41;32;M;Laurea triennale;1;2;3;2;2;1;2;9;non so;Spiegazioni vocali;5;1874;Ruggiero Bonghi;La costruzione di scuole in muratura;Sibilla Aleramo;Giovanni Cena;Era destinata agli oggetti personali del maestro;Un falegname della Disney;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;06/04/2025 18:23;32;M;Laurea triennale;1;2;3;2;2;1;2;9;Accesso a documenti d'archivio e visite in tempo reale con amici;Esposizioni fisiche;3;1912;Maria Montessori;L'uso di materiali sensoriali;Alessandro Marcucci;Giovanni Cena;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;17/12/2024 01:06;32;M;Laurea triennale;1;2;3;2;2;1;2;10;Esperienze multisensoriali e contenuti adattivi all'età;Esposizioni fisiche;9;1912;Duilio Cambellotti;La costruzione di scuole in muratura;Duilio Cambellotti;Duilio Cambellotti;Era utilizzata solo per conservare i quaderni degli studenti;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Solo i bambini delle famiglie benestanti
tradizionale;29/03/2025 15:44;32;M;Laurea triennale;1;2;4;2;9;1;2;3;Visione storica evolutiva e accesso a documentari;Interazioni con la guida;4;1884;Ruggiero Bonghi;L'uso di materiali sensoriali;Duilio Cambellotti;Duilio Cambellotti;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Serviva solo per intrattenere i bambini durante le pause;Esclusivamente gli adulti per il lavoro
tradizionale;26/01/2025 00:25;32;M;Laurea magistrale;10;2;3;2;7;1;5;10;Tecnologia vocale e supporto per visori diversi;Altro;2;1907;Duilio Cambellotti;La promozione del fascismo nelle scuole;Alessandro Marcucci;Sibilla Aleramo;Serviva esclusivamente per riporre i libri di testo;Un falegname della Disney;Era riservato agli insegnanti per le riunioni;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;03/03/2025 15:57;32;M;Laurea triennale;1;6;3;2;2;10;2;9;Accesso a documenti d'archivio e accesso offline;Interazioni con la guida;7;1907;Giovanni Cena;La promozione del fascismo nelle scuole;Sibilla Aleramo;Duilio Cambellotti;Era destinata agli oggetti personali del maestro;Carlo Collodi in persona;Era riservato agli insegnanti per le riunioni;I bambini delle scuole private
tradizionale;10/12/2024 13:47;32;M;Licenza media;1;2;7;3;4;1;2;1;non so;Interazioni con la guida;5;1874;Giovanni Cena;L'uso di materiali sensoriali;Duilio Cambellotti;Duilio Cambellotti;Era destinata agli oggetti personali del maestro;Carlo Collodi in persona;Era utilizzato esclusivamente per le feste scolastiche;Solo i bambini delle famiglie benestanti
tradizionale;27/05/2025 12:45;33;M;Laurea triennale;1;2;3;2;2;1;2;6;non so;Esposizioni fisiche;9;1874;Giovanni Cena;La promozione del fascismo nelle scuole;Alessandro Marcucci;Giovanni Cena;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
tradizionale;11/03/2025 13:06;33;F;Laurea triennale;1;2;3;2;2;7;5;6;Esperienze in prima persona e creazione del proprio avatar;Altro;6;1907;Giovanni Cena;L'uso di materiali sensoriali;Duilio Cambellotti;Sibilla Aleramo;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Serviva solo per intrattenere i bambini durante le pause;Esclusivamente gli adulti per il lavoro
tradizionale;04/04/2025 14:54;33;M;Laurea triennale;1;2;3;2;2;1;2;1;Percorsi personalizzati e scelta del livello di dettaglio;Altro;5;1907;Maria Montessori;L'uso di materiali sensoriali;Alessandro Marcucci;Angelo Celli;Era utilizzata solo per conservare i quaderni degli studenti;Ferdinando Codognotto;Era riservato agli insegnanti per le riunioni;I bambini delle scuole private
tradizionale;15/03/2025 15:00;33;M;Laurea triennale;5;5;3;2;2;2;2;9;Traduzione simultanea e visite guidate registrate;Spiegazioni vocali;4;1907;Duilio Cambellotti;La promozione del fascismo nelle scuole;Alessandro Marcucci;Angelo Celli;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Era riservato agli insegnanti per le riunioni;I bambini delle scuole private
tradizionale;30/05/2025 16:16;33;M;Laurea triennale;1;2;3;2;2;1;2;9;Accesso a documentari e interazione con strumenti antichi;Esposizioni fisiche;5;1874;Duilio Cambellotti;La promozione del fascismo nelle scuole;Sibilla Aleramo;Sibilla Aleramo;Era utilizzata solo per conservare i quaderni degli studenti;Carlo Collodi in persona;Era utilizzato esclusivamente per le feste scolastiche;Solo i bambini delle famiglie benestanti
tradizionale;22/04/2025 16:41;33;M;Laurea triennale;10;2;3;2;2;1;2;2;Modalità realtà mista e visione storica evolutiva;Esposizioni fisiche;2;1884;Maria Montessori;La costruzione di scuole in muratura;Sibilla Aleramo;Duilio Cambellotti;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Carlo Collodi in persona;Era riservato agli insegnanti per le riunioni;Esclusivamente gli adulti per il lavoro
tradizionale;09/12/2024 17:20;33;M;Laurea triennale;1;2;3;2;2;1;2;10;Visione storica evolutiva e accesso a documentari;Interazioni con la guida;8;1874;Maria Montessori;La creazione del 'Giornale per i bambini';Alessandro Marcucci;Angelo Celli;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle scuole private
tradizionale;25/02/2025 17:55;33;M;Laurea triennale;1;2;3;3;2;1;10;1;Visione a raggi X degli oggetti e domande aperte guidate;Spiegazioni vocali;10;1907;Giovanni Cena;La creazione del 'Giornale per i bambini';Alessandro Marcucci;Duilio Cambellotti;Era utilizzata solo per conservare i quaderni degli studenti;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;08/05/2025 18:13;33;M;Laurea triennale;1;6;3;9;3;1;7;1;Contenuti storici dinamici e guide virtuali parlanti;Interazioni con la guida;9;1874;Ruggiero Bonghi;L'uso di materiali sensoriali;Alessandro Marcucci;Giovanni Cena;Serviva esclusivamente per riporre i libri di testo;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;15/04/2025 19:41;33;M;Laurea triennale;1;3;3;9;3;2;2;3;Modalità cooperativa e integrazione con la realtà fisica;Interazioni con la guida;6;1907;Maria Montessori;L'uso di materiali sensoriali;Sibilla Aleramo;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;24/01/2025 20:30;33;M;Laurea triennale;1;2;3;2;2;1;2;6;Scelta del livello di dettaglio e esperienze in prima persona;Interazioni con la guida;9;1912;Duilio Cambellotti;La promozione del fascismo nelle scuole;Giovanni Cena;Duilio Cambellotti;Era destinata agli oggetti personali del maestro;Un falegname della Disney;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;08/12/2024 21:07;33;M;Laurea triennale;1;2;3;2;2;1;2;3;Ricostruzioni in scala reale e creazione del proprio avatar;Spiegazioni vocali;10;1874;Duilio Cambellotti;La creazione del 'Giornale per i bambini';Giovanni Cena;Sibilla Aleramo;Serviva esclusivamente per riporre i libri di testo;Un falegname della Disney;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle scuole private
tradizionale;19/05/2025 21:16;33;F;Licenza media;9;2;2;2;2;10;2;9;Riconoscimento facciale per emozioni e scenari animati;Spiegazioni vocali;2;1874;Duilio Cambellotti;La creazione del 'Giornale per i bambini';Giovanni Cena;Sibilla Aleramo;Serviva esclusivamente per riporre i libri di testo;Un falegname della Disney;Era utilizzato esclusivamente per le feste scolastiche;Esclusivamente gli adulti per il lavoro
tradizionale;08/01/2025 21:36;33;M;Laurea triennale;1;2;3;2;2;1;2;2;Tecnologia vocale e supporto a haptic feedback;Altro;1;1907;Giovanni Cena;L'uso di materiali sensoriali;Alessandro Marcucci;Sibilla Aleramo;Era destinata agli oggetti personali del maestro;Un falegname della Disney;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;20/03/2025 22:17;33;M;Laurea triennale;1;2;3;2;2;1;2;9;Reazioni ambientali realistiche e possibilità di fare domande;Altro;1;1912;Maria Montessori;La costruzione di scuole in muratura;Sibilla Aleramo;Giovanni Cena;Serviva esclusivamente per riporre i libri di testo;Un falegname della Disney;Era riservato agli insegnanti per le riunioni;Esclusivamente gli adulti per il lavoro
tradizionale;12/03/2025 23:03;33;M;Laurea triennale;1;2;3;2;2;1;2;5;Visione storica evolutiva e ricostruzioni in scala reale;Altro;3;1912;Giovanni Cena;La costruzione di scuole in muratura;Sibilla Aleramo;Giovanni Cena;Era destinata agli oggetti personali del maestro;Gli studenti di una scuola elementare;Serviva solo per intrattenere i bambini durante le pause;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;23/05/2025 23:38;33;M;Licenza media;1;2;3;2;2;1;2;1;Contenuti adattivi all'età e esperienze tematiche;Spiegazioni vocali;9;1884;Ruggiero Bonghi;La costruzione di scuole in muratura;Duilio Cambellotti;Giovanni Cena;Era utilizzata solo per conservare i quaderni degli studenti;Gli studenti di una scuola elementare;Era utilizzato esclusivamente per le feste scolastiche;Esclusivamente gli adulti per il lavoro
tradizionale;29/03/2025 00:52;33;M;Laurea triennale;1;2;3;2;2;1;2;2;Sincronizzazione con l'app mobile e visione a raggi x degli oggetti;Spiegazioni vocali;1;1884;Ruggiero Bonghi;La creazione del 'Giornale per i bambini';Duilio Cambellotti;Angelo Celli;Era utilizzata solo per conservare i quaderni degli studenti;Un falegname della Disney;Era utilizzato esclusivamente per le feste scolastiche;Solo i bambini delle famiglie benestanti
tradizionale;18/03/2025 02:02;33;M;Laurea magistrale;1;2;3;2;2;1;10;6;Incontri con avatar storici e visione a raggi x degli oggetti;Altro;3;1912;Ruggiero Bonghi;La costruzione di scuole in muratura;Alessandro Marcucci;Sibilla Aleramo;Era destinata agli oggetti personali del maestro;Un falegname della Disney;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;11/04/2025 21:45;33;M;Laurea triennale;1;2;3;2;2;1;2;5;Visite notturne simulate e simulazioni storiche in tempo reale;Spiegazioni vocali;6;1884;Duilio Cambellotti;La costruzione di scuole in muratura;Sibilla Aleramo;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Ferdinando Codognotto;Era utilizzato esclusivamente per le feste scolastiche;I bambini delle scuole private
tradizionale;03/03/2025 17:56;33;M;Laurea triennale;1;2;3;2;2;1;2;8;Scenari animati e incontri con avatar storici;Esposizioni fisiche;7;1912;Ruggiero Bonghi;La promozione del fascismo nelle scuole;Giovanni Cena;Angelo Celli;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Carlo Collodi in persona;Era utilizzato esclusivamente per le feste scolastiche;Solo i bambini delle famiglie benestanti
tradizionale;02/05/2025 01:58;33;M;Laurea triennale;1;2;3;2;2;1;2;10;Tracce audio storiche e supporto a haptic feedback;Esposizioni fisiche;1;1912;Maria Montessori;La promozione del fascismo nelle scuole;Sibilla Aleramo;Duilio Cambellotti;Era destinata agli oggetti personali del maestro;Ferdinando Codognotto;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle scuole private
tradizionale;11/12/2024 14:01;33;M;Laurea triennale;1;2;3;2;2;1;2;1;Modalità accessibile e accesso a documenti d'archivio;Altro;2;1912;Ruggiero Bonghi;La creazione del 'Giornale per i bambini';Giovanni Cena;Giovanni Cena;Era utilizzata solo per conservare i quaderni degli studenti;Ferdinando Codognotto;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Solo i bambini delle famiglie benestanti
tradizionale;26/05/2025 13:38;33;F;Laurea triennale;9;2;3;2;8;1;2;6;Esperienze in prima persona e accesso offline;Interazioni con la guida;8;1874;Giovanni Cena;L'uso di materiali sensoriali;Duilio Cambellotti;Angelo Celli;Serviva esclusivamente per riporre i libri di testo;Carlo Collodi in persona;Era utilizzato esclusivamente per le feste scolastiche;Esclusivamente gli adulti per il lavoro
tradizionale;04/02/2025 14:14;33;F;Post-laurea;1;2;6;2;7;6;3;5;non so;Interazioni con la guida;7;1912;Ruggiero Bonghi;La promozione del fascismo nelle scuole;Giovanni Cena;Duilio Cambellotti;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Era riservato agli insegnanti per le riunioni;I bambini delle famiglie povere perché erano facili da costruire in casa
tradizionale;22/02/2025 01:32;33;NON SPECIFICATO;Licenza media;1;2;8;2;8;1;2;7;Creazione del proprio avatar e visione a raggi x degli oggetti;Spiegazioni vocali;2;1884;Maria Montessori;La costruzione di scuole in muratura;Duilio Cambellotti;Giovanni Cena;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Serviva solo per intrattenere i bambini durante le pause;I bambini delle scuole private
tradizionale;17/04/2025 22:52;33;M;Laurea triennale;1;2;3;2;2;1;2;2;Esperienze in prima persona e accesso offline;Esposizioni fisiche;4;1884;Giovanni Cena;L'uso di materiali sensoriali;Duilio Cambellotti;Angelo Celli;Era utilizzata solo per conservare i quaderni degli studenti;Ferdinando Codognotto;Serviva solo per intrattenere i bambini durante le pause;Esclusivamente gli adulti per il lavoro
tradizionale;03/05/2025 18:37;33;M;Laurea triennale;10;2;8;3;2;4;2;7;Ricerca vocale e ricostruzioni 3d dettagliate;Spiegazioni vocali;10;1907;Giovanni Cena;La creazione del 'Giornale per i bambini';Alessandro Marcucci;Sibilla Aleramo;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Ferdinando Codognotto;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
tradizionale;10/05/2025 14:45;33;M;Laurea triennale;1;2;3;2;2;1;2;3;Esperienza per bambini e esperienze tematiche;Interazioni con la guida;2;1912;Maria Montessori;La costruzione di scuole in muratura;Sibilla Aleramo;Giovanni Cena;Era destinata agli oggetti personali del maestro;Un falegname della Disney;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;Esclusivamente gli adulti per il lavoro
tradizionale;14/05/2025 00:46;33;F;Laurea triennale;3;2;3;2;2;1;10;7;Riconoscimento facciale per emozioni e interazioni con altri visitatori;Esposizioni fisiche;6;1912;Giovanni Cena;L'uso di materiali sensoriali;Alessandro Marcucci;Giovanni Cena;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Un falegname della Disney;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
tradizionale;14/05/2025 01:12;33;F;Laurea triennale;1;1;3;2;2;1;4;8;Esperienze multisensoriali e visite notturne simulate;Spiegazioni vocali;1;1884;Duilio Cambellotti;La creazione del 'Giornale per i bambini';Sibilla Aleramo;Angelo Celli;Era destinata agli oggetti personali del maestro;Ferdinando Codognotto;Era utilizzato esclusivamente per le feste scolastiche;Esclusivamente gli adulti per il lavoro
tradizionale;24/04/2025 21:57;33;M;Laurea magistrale;1;2;3;8;2;9;2;8;Scenari animati e modalità fotografica;Spiegazioni vocali;9;1912;Ruggiero Bonghi;La promozione del fascismo nelle scuole;Giovanni Cena;Duilio Cambellotti;Serviva esclusivamente per riporre i libri di testo;Carlo Collodi in persona;Aveva dimensioni più grandi e disponeva di una seduta fissa e piano di lavoro inclinato incorporati nella struttura;I bambini delle scuole private
tradizionale;22/12/2024 16:22;33;M;Post-laurea;8;2;3;9;4;1;2;8;Supporto per visori diversi e esplorazione libera in stile open world;Interazioni con la guida;2;1912;Ruggiero Bonghi;L'uso di materiali sensoriali;Duilio Cambellotti;Angelo Celli;Era destinata agli oggetti personali del maestro;Ferdinando Codognotto;Era riservato agli insegnanti per le riunioni;I bambini delle scuole private
tradizionale;25/04/2025 19:00;33;M;Diploma superiore;8;6;3;2;2;1;2;7;Possibilità di fare domande e esperienze in prima persona;Spiegazioni vocali;10;1907;Giovanni Cena;La promozione del fascismo nelle scuole;Duilio Cambellotti;Angelo Celli;Conteneva materiali didattici auto-correttivi organizzati per sviluppare l'autonomia del bambino;Gli studenti di una scuola elementare;Era riservato agli insegnanti per le riunioni;I bambini delle scuole private
tradizionale;23/03/2025 17:22;33;M;Licenza media;1;2;3;2;9;5;2;9;Chat con esperti e accesso a documentari;Spiegazioni vocali;8;1912;Duilio Cambellotti;La promozione del fascismo nelle scuole;Duilio Cambellotti;Giovanni Cena;Era destinata agli oggetti personali del maestro;Carlo Collodi in persona;Era riservato agli insegnanti per le riunioni;Solo i bambini delle famiglie benestanti
