Modalità ;Informazioni cronologiche;1. Qual è la tua età?;2. Qual è il tuo genere?;3. Qual è il tuo livello di istruzione?;"4. Valuta su una scala da 1 a 10 quanto ritieni che la tua età influenzi l'interesse per esperienze di realtà virtuale, dove 1 significa ""per nulla"" e 10 ""moltissimo""";5. Su una scala da 1 a 10, quanto pensi che il tuo percorso formativo o le tue conoscenze pregresse influenzino la tua comprensione delle esperienze VR educative?;"6. Quanto frequentemente utilizzi tecnologie di realtà virtuale o esperienze immersive? Usa una scala da 1 a 10 per indicare la tua frequenza, dove 1 significa ""mai"" e 10 ""molto frequentemente"".";7. Quanto hai trovato interessante l'esperienza nel museo VR con gli avatar AI? Valuta su una scala da 1 a 10;8. Ritieni che le spiegazioni fornite dagli avatar AI siano state chiare e utili? Usa una scala da 1 a 10 per indicare il tuo grado di chiarezza percepita;9. Durante l'esperienza VR, hai percepito difficoltà nel mantenere l'attenzione? Su una scala da 1 a 10;10. Quanto ritieni che la ricostruzione virtuale degli ambienti educativi storici sia stata efficace per trasmettere informazioni educative? Usa una scala da 1 a 10 per indicare la tua percezione.;11. Qual è stato il tuo livello di coinvolgimento emotivo durante l'esperienza VR? Valuta su una scala da 1 a 10;12. Quali ulteriori funzionalità vorresti vedere in una futura versione del museo VR?;13. Quali aspetti dell'esperienza VR con gli avatar AI hai trovato più utili per l'apprendimento?;14. Quanto riterresti utile l'uso della VR con avatar AI per spiegare l'evoluzione degli strumenti educativi rispetto alla visita museale tradizionale?;1. Chi era Duilio Cambellotti, che ti ha guidato nella sala della scuola contadina dell'Agro romano?;2.  Quale ruolo aveva il teatrino nella scuola di inizio XX secolo ?;3. Giuseppe Lombardo Radice, che ti ha accompagnato nell'area della scuola popolare, è noto per:;4.  A cosa serviva il banco della scuola rurale di Marcucci ?;5. La scuola contadina dell'Agro romano, presentata da Cambellotti, aveva come obiettivo principale:;6. Cosa rappresenta la bambola di pelle scura conservata al museo ;7. Giuseppe Lombardo Radice collaborò strettamente con:;8. A cosa serve il modellino della fornace esposto al museo ;9. L'avatar di Pinocchio ha presentato la letteratura per l'infanzia come strumento per:
VR;28/08/2025 14:44;35;M;Laurea magistrale;10;9;3;6;8;1;1;7;Accesso a documentari e gamification educativa;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;13/07/2025 17:35;36;M;Laurea triennale;10;9;2;9;7;2;9;3;Accesso a documentari e ricostruzioni 3d dettagliate;Elementi interattivi;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Una bambola tradizionale italiana;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;05/11/2025 10:52;36;F;Diploma superiore;9;9;2;9;7;8;8;7;Visite notturne simulate e accesso a documenti d'archivio;Elementi interattivi;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;17/06/2025 11:49;36;F;Diploma superiore;10;3;1;7;8;10;6;8;Tecnologia vocale e supporto a haptic feedback;Altro;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;La riforma universitaria italiana;Serviva solo per gli esami finali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Semplice intrattenimento
VR;08/11/2025 12:56;36;F;Laurea magistrale;9;7;2;9;8;7;2;8;Interazione con strumenti antichi e sincronizzazione con l'app mobile;Altro;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;14/06/2025 13:18;36;M;Laurea magistrale;6;5;4;9;9;5;8;8;Visite notturne simulate e interazione con strumenti antichi;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento ludico per le famiglie benestanti;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Promuovere l'arte nelle campagne;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;26/11/2025 13:34;36;M;Laurea magistrale;10;7;1;8;7;9;8;8;Accesso a documenti d'archivio e accesso offline;Interazioni con gli avatar;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;12/11/2025 14:13;36;M;Laurea triennale;7;6;4;10;6;7;10;8;Modalità cooperativa e interazione con strumenti antichi;Interazioni con gli avatar;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;21/07/2025 14:20;36;M;Diploma superiore;2;3;4;8;6;9;8;1;Visite notturne simulate e interazione con strumenti antichi;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;02/10/2025 14:25;36;M;Laurea magistrale;4;6;3;8;7;9;1;8;Scenari animati e modalità fotografica;Elementi interattivi;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un oggetto di artigianato africano importato per il commercio;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Semplice intrattenimento
VR;24/11/2025 15:20;36;M;Laurea magistrale;9;6;4;10;6;7;3;8;Collezioni temporanee interattive e percorsi personalizzati;Ricostruzione ambienti;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;15/11/2025 10:33;37;F;Laurea magistrale;8;9;2;6;6;9;10;1;Guide virtuali parlanti e modalità fotografica;Ricostruzione ambienti;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;08/06/2025 11:33;37;M;Diploma superiore;8;6;5;9;10;6;8;8;Visione storica evolutiva e realtà aumentata integrata;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;La riforma universitaria italiana;Era utilizzato esclusivamente per la scrittura con l'inchiostro;Creare teatri rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;18/11/2025 11:36;37;F;Diploma superiore;4;6;1;8;6;8;4;10;Esperienze narrative e creazione del proprio avatar;Interazioni con gli avatar;9;Un fondatore di scuole elementari;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;L'introduzione delle tecnologie in classe;Serviva solo per gli esami finali;Formare artisti e illustratori;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A decorare la sala espositiva;Sviluppo delle abilità matematiche
VR;13/11/2025 14:24;37;F;Laurea magistrale;1;6;2;10;10;8;1;6;Scenari animati e riconoscimento facciale per emozioni;Ricostruzione ambienti;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;11/07/2025 14:25;37;M;Diploma superiore;1;8;3;8;7;9;2;8;Ricerca vocale e visite notturne simulate;Interazioni con gli avatar;9;Un pedagogo montessoriano;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;24/09/2025 14:42;37;F;Diploma superiore;10;9;2;9;7;4;8;10;Interazione con strumenti antichi e sincronizzazione con l'app mobile;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Serviva solo per intrattenere i bambini durante le pause;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;24/10/2025 12:17;38;M;Laurea magistrale;9;10;3;8;8;9;6;10;Chat con esperti e più interazione con gli oggetti;Altro;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;08/07/2025 12:33;38;F;Laurea magistrale;9;8;3;8;6;8;7;6;Scenari animati e riconoscimento facciale per emozioni;Ricostruzione ambienti;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;23/07/2025 13:04;38;M;Laurea magistrale;8;6;1;7;9;7;3;6;Integrazione con la realtà fisica e esperienze tematiche;Interazioni con gli avatar;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;21/09/2025 13:10;38;F;Diploma superiore;9;3;1;7;7;9;7;8;Possibilità di fare domande e simulazioni storiche in tempo reale;Ricostruzione ambienti;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;15/07/2025 13:29;38;M;Laurea triennale;10;8;1;7;6;3;10;4;Visione a raggi X degli oggetti e esperienza per bambini;Elementi interattivi;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;15/09/2025 14:47;38;F;Diploma superiore;9;8;3;9;7;10;9;9;Esperienza per bambini e visione storica evolutiva;Ricostruzione ambienti;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento ludico per le famiglie benestanti;Lo sviluppo della scuola attiva e popolare;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Duilio Cambellotti nelle decorazioni;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;21/06/2025 10:23;39;F;Laurea magistrale;8;2;8;8;6;3;8;8;Contenuti adattivi all'età e esperienze tematiche;Interazioni con gli avatar;7;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Aver inventato il metodo Montessori;Serviva solo per gli esami finali;Creare teatri rurali;Un giocattolo moderno per promuovere l'inclusività;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;06/11/2025 10:50;39;M;Laurea magistrale;10;7;4;7;10;8;10;9;Interazione con strumenti antichi e esperienze tematiche;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;05/08/2025 11:23;39;F;Laurea magistrale;8;8;2;7;9;10;9;10;Modalità realtà mista e esperienze narrative;Elementi interattivi;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;04/09/2025 11:27;39;M;Laurea magistrale;6;6;2;10;8;10;8;10;Esperienza per bambini e visione storica evolutiva;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;12/06/2025 12:14;39;F;Diploma superiore;8;7;3;8;8;4;10;7;Interazione con strumenti antichi e esperienze tematiche;Interazioni con gli avatar;8;Un pedagogo montessoriano;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Angelo Celli nella lotta alla malaria;A riscaldare realmente le aule del museo;Sviluppo delle abilità matematiche
VR;15/11/2025 13:15;39;F;Diploma superiore;10;7;1;10;8;1;7;10;Accesso offline e interazione con strumenti antichi;Ricostruzione ambienti;9;Un fondatore di scuole elementari;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era riservato unicamente al maestro;Alfabetizzare e educare le popolazioni rurali;Un oggetto di artigianato africano importato per il commercio;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Apprendimento della grammatica
VR;25/11/2025 14:16;39;F;Laurea magistrale;9;3;3;8;10;10;8;8;Supporto per visori diversi e esplorazione libera in stile open world;Altro;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;15/06/2025 14:41;39;F;Laurea triennale;10;8;2;10;6;2;3;6;Interazione con strumenti antichi e esperienze tematiche;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;24/08/2025 14:47;39;F;Laurea magistrale;10;7;10;8;7;7;8;9;Interazioni con altri visitatori e modalità fotografica;Elementi interattivi;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;10/07/2025 15:12;39;M;Laurea magistrale;1;7;2;9;10;8;2;8;Integrazione con la realtà fisica e domande aperte guidate;Elementi interattivi;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;10/10/2025 10:56;40;M;Laurea triennale;6;8;3;7;8;10;10;6;Esperienze narrative e creazione del proprio avatar;Ricostruzione ambienti;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;11/10/2025 11:24;40;M;Laurea magistrale;10;6;4;8;9;1;10;5;Visite notturne simulate e sincronizzazione con l'app mobile;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;05/10/2025 11:45;40;F;Laurea triennale;10;5;3;8;7;9;8;9;Modalità esperto e guide virtuali parlanti;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;28/07/2025 11:52;40;M;Laurea triennale;9;7;1;6;8;7;8;3;Riconoscimento facciale per emozioni e interazioni con altri visitatori;Elementi interattivi;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;27/09/2025 12:05;40;M;Laurea magistrale;9;9;2;8;7;4;9;7;Accesso offline e interazione con strumenti antichi;Elementi interattivi;8;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;05/10/2025 13:25;40;M;Diploma superiore;1;9;3;6;7;8;7;9;Ricerca vocale e visite notturne simulate;Interazioni con gli avatar;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;La riforma universitaria italiana;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A conservare oggetti antichi;Semplice intrattenimento
VR;26/11/2025 13:37;40;M;Diploma superiore;9;8;4;9;7;10;8;10;Ricerca vocale e visite notturne simulate;Ricostruzione ambienti;9;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;08/10/2025 13:49;40;F;Diploma superiore;10;8;4;10;6;6;3;8;Interazione con strumenti antichi e sincronizzazione con l'app mobile;Ricostruzione ambienti;10;Un illustratore e scenografo legato al mondo rurale;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Lo sviluppo della scuola attiva e popolare;Era progettato per l'uso didattico degli studenti nelle piccole classi rurali;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Giovanni Gentile nella riforma scolastica;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
VR;13/09/2025 13:57;40;F;Diploma superiore;1;4;3;9;10;2;10;9;Contenuti adattivi all'età e esperienze tematiche;Altro;7;Un pedagogo montessoriano;Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione;Aver inventato il metodo Montessori;Era utilizzato esclusivamente per la scrittura con l'inchiostro;Alfabetizzare e educare le popolazioni rurali;Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo;Maria Montessori nel metodo educativo;A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo;Formazione morale e sociale dei bambini
