Gruppo,Data,Eta,Fascia_Eta,Genere,Livello_Istruzione,Influenza_Eta,Influenza_Formazione,Frequenza_Visite,Interesse,Chiarezza,Difficolta_Attenzione,Efficacia,Coinvolgimento_Emotivo,Funzionalita_Desiderate,Aspetti_Utili,Utilita_VR,Quiz_1_Fondazione,Quiz_2_Fondatore,Quiz_3_Montessori,Quiz_4_Banchi,Quiz_5_Decorazione,Quiz_6_Cassettiera,Quiz_7_Pinocchio,Quiz_8_Banco_Urbano,Quiz_9_GoKart
VR,09/07/2025 20:19,32,26-35,M,Laurea magistrale,9,7,3,9,9,8,7,8,Esperienze multisensoriali e visite notturne simulate,Interazioni con gli avatar,10,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,13/09/2025 20:21,67,over 65,F,Laurea magistrale,8,6,4,10,7,6,9,10,Esperienze narrative e visione a raggi x degli oggetti,Interazioni con gli avatar,9,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,05/10/2025 20:23,42,36-50,M,Laurea magistrale,3,8,9,7,8,10,8,9,Accesso offline e interazione con strumenti antichi,Ricostruzione ambienti,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era riservato unicamente al maestro,Formare artisti e illustratori,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Maria Montessori nel metodo educativo,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Apprendimento della grammatica
VR,12/09/2025 20:24,40,36-50,M,Diploma superiore,9,9,2,7,6,8,10,6,Tracce audio storiche e musica ambientale storica,Altro,10,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,16/08/2025 20:26,31,26-35,F,Laurea magistrale,4,5,1,6,8,5,9,9,Visite notturne simulate e accesso a documenti d'archivio,Ricostruzione ambienti,9,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,02/11/2025 20:28,42,36-50,M,Laurea magistrale,9,4,2,8,10,2,8,7,Integrazione con la realtà fisica e domande aperte guidate,Elementi interattivi,7,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,03/08/2025 20:30,38,36-50,F,Laurea magistrale,10,7,5,6,9,10,10,7,Chat con esperti e accesso a documentari,Elementi interattivi,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,16/06/2025 20:48,46,36-50,M,Laurea magistrale,10,7,1,6,10,10,10,8,risolvere il senso di nausea,Altro,9,Un politico dell'epoca fascista,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era riservato unicamente al maestro,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Sviluppo delle abilità matematiche
VR,25/08/2025 20:49,33,26-35,M,Laurea triennale,4,8,3,9,9,5,8,1,diminuire il malessere,Elementi interattivi,10,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era utilizzato esclusivamente per la scrittura con l'inchiostro,Formare artisti e illustratori,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A conservare oggetti antichi,Semplice intrattenimento
VR,04/08/2025 20:50,55,51-65,F,Diploma superiore,3,10,4,9,9,8,2,10,fare qualcosa per risolvere la nausea,Interazioni con gli avatar,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era utilizzato esclusivamente per la scrittura con l'inchiostro,Creare teatri rurali,Un oggetto di artigianato africano importato per il commercio,Maria Montessori nel metodo educativo,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Apprendimento della grammatica
VR,09/08/2025 20:50,51,51-65,F,Laurea magistrale,5,6,6,9,8,5,3,2,risolvere il malore,Ricostruzione ambienti,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento ludico per le famiglie benestanti,Lo sviluppo della scuola attiva e popolare,Era riservato unicamente al maestro,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Maria Montessori nel metodo educativo,A conservare oggetti antichi,Formazione morale e sociale dei bambini
VR,26/11/2025 20:51,67,over 65,M,Diploma superiore,3,6,1,6,8,7,5,9,Tracce audio storiche e visite notturne simulate,Elementi interattivi,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,22/07/2025 20:51,47,36-50,F,Laurea triennale,9,10,1,8,6,6,4,5,Scenari animati e modalità fotografica,Interazioni con gli avatar,10,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Aver inventato il metodo Montessori,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,Una bambola tradizionale italiana,Duilio Cambellotti nelle decorazioni,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,07/10/2025 20:52,42,36-50,M,Laurea triennale,9,10,4,7,8,8,5,10,Visite notturne simulate e sincronizzazione con l'app mobile,Interazioni con gli avatar,7,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,La riforma universitaria italiana,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Promuovere l'arte nelle campagne,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Duilio Cambellotti nelle decorazioni,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,20/09/2025 20:53,38,36-50,F,Laurea magistrale,8,7,4,7,8,9,4,9,Esplorazione libera in stile open world e supporto per più lingue,Interazioni con gli avatar,7,Un illustratore e scenografo legato al mondo rurale,Era uno strumento ludico per le famiglie benestanti,Lo sviluppo della scuola attiva e popolare,Era utilizzato esclusivamente per la scrittura con l'inchiostro,Formare artisti e illustratori,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A decorare la sala espositiva,Formazione morale e sociale dei bambini
VR,10/09/2025 20:53,30,26-35,F,Diploma superiore,8,7,1,7,8,8,7,8,Ricerca vocale e visite notturne simulate,Altro,7,Un illustratore e scenografo legato al mondo rurale,Serviva solo per intrattenere i bambini durante le pause,Lo sviluppo della scuola attiva e popolare,Era riservato unicamente al maestro,Promuovere l'arte nelle campagne,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Maria Montessori nel metodo educativo,A decorare la sala espositiva,Formazione morale e sociale dei bambini
VR,22/08/2025 20:54,68,over 65,F,Diploma superiore,10,8,7,9,6,9,10,9,Guide virtuali parlanti e modalità fotografica,Elementi interattivi,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,La riforma universitaria italiana,Serviva solo per gli esami finali,Alfabetizzare e educare le popolazioni rurali,Un oggetto di artigianato africano importato per il commercio,Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Sviluppo delle abilità matematiche
VR,22/08/2025 20:54,43,36-50,M,Diploma superiore,10,6,3,7,9,8,9,10,Modalità esperto e guide virtuali parlanti,Elementi interattivi,10,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,06/07/2025 20:55,43,36-50,F,Laurea triennale,5,7,2,9,10,3,10,5,Esperienze narrative e creazione del proprio avatar,Interazioni con gli avatar,8,Un fondatore di scuole elementari,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era utilizzato esclusivamente per la scrittura con l'inchiostro,Creare teatri rurali,Una bambola tradizionale italiana,Duilio Cambellotti nelle decorazioni,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,29/11/2025 20:56,21,18-25,F,Diploma superiore,3,7,1,9,7,7,8,8,Esperienze in prima persona e accesso offline,Interazioni con gli avatar,7,Un politico dell'epoca fascista,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era utilizzato esclusivamente per la scrittura con l'inchiostro,Creare teatri rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,31/07/2025 20:56,25,18-25,M,Diploma superiore,8,9,4,9,8,6,8,9,Supporto per visori diversi e esplorazione libera in stile open world,Interazioni con gli avatar,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,14/11/2025 20:57,23,18-25,F,Laurea triennale,9,7,4,9,9,10,7,8,Accesso a documentari e ricostruzioni 3d dettagliate,Elementi interattivi,9,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,25/09/2025 20:57,40,36-50,F,Laurea magistrale,8,9,4,9,6,9,8,10,Visite in tempo reale con amici e visione storica evolutiva,Elementi interattivi,7,Un politico dell'epoca fascista,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,Una bambola tradizionale italiana,Duilio Cambellotti nelle decorazioni,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Semplice intrattenimento
VR,02/07/2025 20:58,44,36-50,F,Diploma superiore,2,6,3,10,7,4,7,9,Scenari animati e esperienze in prima persona,Ricostruzione ambienti,8,Un pedagogo montessoriano,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Aver inventato il metodo Montessori,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Promuovere l'arte nelle campagne,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Semplice intrattenimento
VR,28/06/2025 20:58,62,51-65,M,Laurea magistrale,1,9,6,9,7,7,7,10,Traduzione simultanea e tracce audio storiche,Interazioni con gli avatar,7,Un illustratore e scenografo legato al mondo rurale,Era utilizzato esclusivamente per le feste scolastiche,Lo sviluppo della scuola attiva e popolare,Era utilizzato esclusivamente per la scrittura con l'inchiostro,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Angelo Celli nella lotta alla malaria,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,03/10/2025 20:59,43,36-50,F,Laurea magistrale,9,7,1,8,9,7,5,1,Contenuti adattivi all'età e esperienze tematiche,Interazioni con gli avatar,10,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,L'introduzione delle tecnologie in classe,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Angelo Celli nella lotta alla malaria,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Apprendimento della grammatica
VR,09/10/2025 21:00,32,26-35,M,Laurea triennale,9,7,1,10,8,7,9,6,Visite notturne simulate e accesso a documenti d'archivio,Altro,9,Un fondatore di scuole elementari,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Formare artisti e illustratori,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A riscaldare realmente le aule del museo,Formazione morale e sociale dei bambini
VR,25/09/2025 21:00,63,51-65,F,Diploma superiore,5,1,4,6,9,2,7,5,Ricostruzioni 3D dettagliate e visite guidate registrate,Elementi interattivi,10,Un politico dell'epoca fascista,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Creare teatri rurali,Un giocattolo moderno per promuovere l'inclusività,Maria Montessori nel metodo educativo,A conservare oggetti antichi,Formazione morale e sociale dei bambini
VR,11/07/2025 21:01,69,over 65,M,Diploma superiore,1,6,4,10,8,8,8,3,Accesso a documenti d'archivio e accesso offline,Interazioni con gli avatar,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era riservato unicamente al maestro,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Duilio Cambellotti nelle decorazioni,A decorare la sala espositiva,Formazione morale e sociale dei bambini
VR,24/08/2025 21:01,18,18-25,F,Diploma superiore,9,7,5,9,6,3,7,10,Tecnologia vocale e supporto per visori diversi,Ricostruzione ambienti,10,Un illustratore e scenografo legato al mondo rurale,Era utilizzato esclusivamente per le feste scolastiche,L'introduzione delle tecnologie in classe,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Angelo Celli nella lotta alla malaria,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Sviluppo delle abilità matematiche
VR,08/11/2025 21:02,32,26-35,F,Diploma superiore,9,7,2,9,6,3,4,8,Chat con esperti e accesso a documentari,Altro,9,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,25/09/2025 21:02,29,26-35,F,Laurea triennale,6,9,6,7,7,8,5,9,Incontri con avatar storici e visione a raggi x degli oggetti,Altro,7,Un pedagogo montessoriano,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Promuovere l'arte nelle campagne,Un oggetto di artigianato africano importato per il commercio,Duilio Cambellotti nelle decorazioni,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,17/08/2025 21:03,36,36-50,M,Laurea triennale,10,7,1,10,10,7,7,8,Interazione con strumenti antichi e sincronizzazione con l'app mobile,Elementi interattivi,8,Un politico dell'epoca fascista,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Creare teatri rurali,Un giocattolo moderno per promuovere l'inclusività,Giovanni Gentile nella riforma scolastica,A decorare la sala espositiva,Apprendimento della grammatica
VR,02/08/2025 21:03,43,36-50,M,Laurea magistrale,9,6,1,6,6,8,6,9,Riconoscimento facciale per emozioni e interazioni con altri visitatori,Ricostruzione ambienti,8,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,23/07/2025 21:04,69,over 65,M,Laurea magistrale,10,8,1,8,6,9,10,8,Scenari animati e riconoscimento facciale per emozioni,Interazioni con gli avatar,9,Un politico dell'epoca fascista,Era utilizzato esclusivamente per le feste scolastiche,L'introduzione delle tecnologie in classe,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Creare teatri rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Maria Montessori nel metodo educativo,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,05/07/2025 21:05,55,51-65,M,Diploma superiore,1,2,3,6,10,2,8,10,Tecnologia vocale e supporto a haptic feedback,Interazioni con gli avatar,8,Un pedagogo montessoriano,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Creare teatri rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A conservare oggetti antichi,Formazione morale e sociale dei bambini
VR,27/11/2025 21:05,25,18-25,M,Diploma superiore,7,6,3,6,6,9,10,7,Visione a raggi X degli oggetti e esperienza per bambini,Elementi interattivi,10,Un illustratore e scenografo legato al mondo rurale,Serviva solo per intrattenere i bambini durante le pause,La riforma universitaria italiana,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Duilio Cambellotti nelle decorazioni,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,14/08/2025 21:06,24,18-25,M,Diploma superiore,8,9,2,9,10,9,6,10,Interazione con strumenti antichi e esperienze tematiche,Altro,9,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,14/09/2025 21:06,49,36-50,M,Diploma superiore,4,5,9,7,8,10,2,7,Modalità cooperativa e interazione con strumenti antichi,Elementi interattivi,8,Un pedagogo montessoriano,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Serviva solo per gli esami finali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Duilio Cambellotti nelle decorazioni,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,27/06/2025 21:07,26,26-35,M,Laurea triennale,8,5,3,8,6,5,1,9,Integrazione con la realtà fisica e domande aperte guidate,Ricostruzione ambienti,10,Un politico dell'epoca fascista,Serviva solo per intrattenere i bambini durante le pause,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Promuovere l'arte nelle campagne,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Angelo Celli nella lotta alla malaria,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,03/08/2025 21:07,21,18-25,M,Diploma superiore,10,9,3,6,7,9,5,2,Tracce audio storiche e musica ambientale storica,Interazioni con gli avatar,7,Un illustratore e scenografo legato al mondo rurale,Serviva solo per intrattenere i bambini durante le pause,Aver inventato il metodo Montessori,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Promuovere l'arte nelle campagne,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,25/06/2025 21:08,45,36-50,F,Diploma superiore,4,8,4,10,8,7,1,8,Accesso a documentari,Elementi interattivi,10,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,16/10/2025 21:09,43,36-50,M,Laurea triennale,9,8,3,9,7,10,9,7,Integrazione con la realtà fisica e esperienze tematiche,Elementi interattivi,7,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,La riforma universitaria italiana,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Promuovere l'arte nelle campagne,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A riscaldare realmente le aule del museo,Formazione morale e sociale dei bambini
VR,16/09/2025 21:09,21,18-25,M,Diploma superiore,10,8,1,9,9,10,9,7,Modalità accessibile e riconoscimento facciale per emozioni,Elementi interattivi,10,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era progettato per l'uso didattico degli studenti nelle piccole classi rurali,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Giovanni Gentile nella riforma scolastica,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Formazione morale e sociale dei bambini
VR,30/07/2025 21:10,70,over 65,M,Diploma superiore,2,1,4,8,8,10,2,9,Modalità realtà mista e esperienze narrative,Interazioni con gli avatar,7,Un fondatore di scuole elementari,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Aver inventato il metodo Montessori,Era utilizzato esclusivamente per la scrittura con l'inchiostro,Alfabetizzare e educare le popolazioni rurali,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Maria Montessori nel metodo educativo,A mostrare agli alunni come funzionava la fornace all'inizio del XX secolo,Semplice intrattenimento
VR,19/08/2025 21:10,39,36-50,F,Laurea triennale,3,6,1,10,6,5,2,9,Gamification educativa e tecnologia vocale,Elementi interattivi,10,Un illustratore e scenografo legato al mondo rurale,Era uno strumento didattico fondamentale per l'educazione morale e civica attraverso la rappresentazione,Lo sviluppo della scuola attiva e popolare,Era utilizzato esclusivamente per la scrittura con l'inchiostro,Formare artisti e illustratori,"Un prodotto dell'epoca del colonialismo italiano in Etiopia, che rifletteva le ideologie del tempo",Maria Montessori nel metodo educativo,A decorare la sala espositiva,Formazione morale e sociale dei bambini
